contrast,lang,layer,auroc,n_pos,n_neg
cue_presence,en,31,1.0,100,100
cue_presence,en,32,1.0,100,100
cue_presence,en,33,1.0,100,100
cue_presence,en,34,1.0,100,100
cue_presence,en,35,1.0,100,100
cue_presence,en,36,1.0,100,100
cue_presence,en,37,1.0,100,100
cue_presence,en,38,1.0,100,100
cue_presence,en,39,0.9995,100,100
cue_presence,hi,0,0.9724999999999999,100,100
cue_presence,hi,1,0.9974999999999999,100,100
cue_presence,hi,2,1.0,100,100
cue_presence,hi,3,1.0,100,100
cue_presence,hi,4,1.0,100,100
cue_presence,hi,5,1.0,100,100
cue_presence,hi,6,1.0,100,100
cue_presence,hi,7,1.0,100,100
cue_presence,hi,8,1.0,100,100
cue_presence,hi,9,1.0,100,100
cue_presence,hi,10,1.0,100,100
cue_presence,hi,11,1.0,100,100
cue_presence,hi,12,1.0,100,100
cue_presence,hi,13,1.0,100,100
cue_presence,hi,14,1.0,100,100
cue_presence,hi,15,1.0,100,100
cue_presence,hi,16,1.0,100,100
cue_presence,hi,17,1.0,100,100
cue_presence,hi,18,1.0,100,100
cue_presence,hi,19,1.0,100,100
cue_presence,hi,20,1.0,100,100
cue_presence,hi,21,1.0,100,100
cue_presence,hi,22,1.0,100,100
cue_presence,hi,23,1.0,100,100
cue_presence,hi,24,1.0,100,100
cue_presence,hi,25,1.0,100,100
cue_presence,hi,26,1.0,100,100
cue_presence,hi,27,1.0,100,100
cue_presence,hi,28,1.0,100,100
cue_presence,hi,29,1.0,100,100
cue_presence,hi,30,1.0,100,100
cue_presence,hi,31,1.0,100,100
cue_presence,hi,32,1.0,100,100
cue_presence,hi,33,1.0,100,100
cue_presence,hi,34,1.0,100,100
cue_presence,hi,35,1.0,100,100
cue_presence,hi,36,1.0,100,100
cue_presence,hi,37,1.0,100,100
cue_presence,hi,38,1.0,100,100
cue_presence,hi,39,1.0,100,100
cue_presence,bn,0,0.9785,100,100
cue_presence,bn,1,0.9870000000000001,100,100
cue_presence,bn,2,0.9964999999999999,100,100
cue_presence,bn,3,0.9955,100,100
cue_presence,bn,4,0.9984999999999999,100,100
cue_presence,bn,5,1.0,100,100
cue_presence,bn,6,1.0,100,100
cue_presence,bn,7,1.0,100,100
cue_presence,bn,8,1.0,100,100
cue_presence,bn,9,1.0,100,100
cue_presence,bn,10,1.0,100,100
cue_presence,bn,11,1.0,100,100
cue_presence,bn,12,1.0,100,100
cue_presence,bn,13,1.0,100,100
cue_presence,bn,14,1.0,100,100
cue_presence,bn,15,1.0,100,100
cue_presence,bn,16,1.0,100,100
cue_presence,bn,17,1.0,100,100
cue_presence,bn,18,1.0,100,100
cue_presence,bn,19,1.0,100,100
cue_presence,bn,20,1.0,100,100
cue_presence,bn,21,1.0,100,100
cue_presence,bn,22,1.0,100,100
cue_presence,bn,23,1.0,100,100
cue_presence,bn,24,1.0,100,100
cue_presence,bn,25,1.0,100,100
cue_presence,bn,26,1.0,100,100
cue_presence,bn,27,1.0,100,100
cue_presence,bn,28,1.0,100,100
cue_presence,bn,29,1.0,100,100
cue_presence,bn,30,1.0,100,100
cue_presence,bn,31,1.0,100,100
cue_presence,bn,32,1.0,100,100
cue_presence,bn,33,1.0,100,100
cue_presence,bn,34,1.0,100,100
cue_presence,bn,35,1.0,100,100
cue_presence,bn,36,1.0,100,100
cue_presence,bn,37,1.0,100,100
cue_presence,bn,38,1.0,100,100
cue_presence,bn,39,1.0,100,100
cue_presence,ta,0,0.9730000000000001,100,100
cue_presence,ta,1,0.9894999999999999,100,100
cue_presence,ta,2,0.9969999999999999,100,100
cue_presence,ta,3,1.0,100,100
cue_presence,ta,4,1.0,100,100
cue_presence,ta,5,1.0,100,100
cue_presence,ta,6,1.0,100,100
cue_presence,ta,7,1.0,100,100
cue_presence,ta,8,1.0,100,100
cue_presence,ta,9,1.0,100,100
cue_presence,ta,10,1.0,100,100
cue_presence,ta,11,1.0,100,100
cue_presence,ta,12,1.0,100,100
cue_presence,ta,13,1.0,100,100
cue_presence,ta,14,1.0,100,100
cue_presence,ta,15,1.0,100,100
cue_presence,ta,16,1.0,100,100
cue_presence,ta,17,1.0,100,100
cue_presence,ta,18,1.0,100,100
cue_presence,ta,19,1.0,100,100
cue_presence,ta,20,1.0,100,100
cue_presence,ta,21,1.0,100,100
cue_presence,ta,22,1.0,100,100
cue_presence,ta,23,1.0,100,100
cue_presence,ta,24,1.0,100,100
cue_presence,ta,25,1.0,100,100
cue_presence,ta,26,1.0,100,100
cue_presence,ta,27,1.0,100,100
cue_presence,ta,28,1.0,100,100
cue_presence,ta,29,1.0,100,100
cue_presence,ta,30,1.0,100,100
cue_presence,ta,31,1.0,100,100
cue_presence,ta,32,1.0,100,100
cue_presence,ta,33,1.0,100,100
cue_presence,ta,34,1.0,100,100
cue_presence,ta,35,1.0,100,100
cue_presence,ta,36,1.0,100,100
